iter	RMSE
0	14.81758004
1	14.33452214
2	13.88368447
3	13.45445866
4	13.04245443
5	12.70046172
6	12.35848423
7	12.02188734
8	11.70617604
9	11.36202752
10	11.01960599
11	10.74119825
12	10.47827332
13	10.2090189
14	9.93701417
15	9.725691948
16	9.496571446
17	9.284137652
18	9.063918364
19	8.852889584
20	8.692071926
21	8.550179539
22	8.368904996
23	8.190538196
24	8.037407659
25	7.888066734
26	7.736260435
27	7.60023422
28	7.472498167
29	7.346641839
30	7.231289671
31	7.119903342
32	7.014968799
33	6.910180477
34	6.801540972
35	6.705474648
36	6.614140788
37	6.527713685
38	6.447227453
39	6.368087132
40	6.314250279
41	6.257095591
42	6.187745492
43	6.136833191
44	6.075905475
45	6.019681616
46	5.969533199
47	5.91114871
48	5.860694066
49	5.813321683
