iter	Passed	Remaining
0	2	244
1	4	234
2	6	216
3	8	201
4	10	193
5	12	188
6	14	189
7	16	188
8	17	180
9	20	180
10	21	172
11	23	170
12	24	167
13	26	165
14	28	160
15	29	157
16	31	154
17	33	152
18	35	149
19	37	149
20	39	147
21	41	147
22	43	144
23	44	141
24	46	139
25	48	137
26	49	134
27	51	131
28	53	130
29	55	129
30	57	127
31	58	124
32	60	122
33	62	120
34	63	118
35	65	116
36	67	114
37	69	112
38	71	111
39	72	108
40	74	107
41	75	103
42	77	102
43	78	100
44	81	99
45	82	97
46	84	95
47	86	93
48	88	92
49	90	90
50	92	88
51	94	87
52	96	85
53	97	83
54	99	81
55	101	79
56	102	77
57	104	75
58	106	73
59	108	72
60	110	70
61	112	68
62	114	67
63	116	65
64	117	63
65	119	61
66	121	59
67	123	58
68	124	56
69	126	54
70	128	52
71	129	50
72	131	48
73	133	46
74	134	44
75	137	43
76	138	41
77	140	39
78	142	37
79	144	36
80	145	34
81	147	32
82	149	30
83	151	28
84	153	27
85	154	25
86	156	23
87	158	21
88	160	19
89	161	17
90	163	16
91	165	14
92	167	12
93	169	10
94	170	8
95	172	7
96	174	5
97	176	3
98	178	1
99	180	0
